"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 19 17:39:22 GMT 2023","Wed Jul 19 17:39:25 GMT 2023","3313","","tests.LoginTest","","tests.LoginTest","loginWithEmptyUsernameDescriptionField","loginWithEmptyUsernameDescriptionField()",""
"passed","Wed Jul 19 17:39:35 GMT 2023","Wed Jul 19 17:39:38 GMT 2023","3704","","tests.LoginTest","","tests.LoginTest","loginWithInvalidUsername","loginWithInvalidUsername()",""
"skipped","Wed Jul 19 17:39:24 GMT 2023","Wed Jul 19 17:39:25 GMT 2023","461","","logout","","logout scenario","","logout scenario",""
"passed","Wed Jul 19 17:39:33 GMT 2023","Wed Jul 19 17:39:36 GMT 2023","2828","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [9] angular, password, ",""
"passed","Wed Jul 19 17:39:09 GMT 2023","Wed Jul 19 17:39:13 GMT 2023","4222","","tests.LoginTest","","tests.LoginTest","overflowUsernameField","overflowUsernameField()",""
"skipped","Wed Jul 19 17:39:22 GMT 2023","Wed Jul 19 17:39:23 GMT 2023","269","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"skipped","Wed Jul 19 17:39:24 GMT 2023","Wed Jul 19 17:39:24 GMT 2023","461","","login","","login with valid value scenario","","login with valid value scenario","  try to login with valid values"
"passed","Wed Jul 19 17:38:56 GMT 2023","Wed Jul 19 17:39:04 GMT 2023","7968","","tests.LogoutTest","","tests.LogoutTest","logoutSuccessfully","logoutSuccessfully()",""
"broken","Wed Jul 19 17:39:23 GMT 2023","Wed Jul 19 17:39:23 GMT 2023","455","","","","","","Example #1.6",""
"passed","Wed Jul 19 17:39:38 GMT 2023","Wed Jul 19 17:39:40 GMT 2023","2105","","tests.LoginTest","","tests.LoginTest","hintToEmptyUsernameDescriptionField","hintToEmptyUsernameDescriptionField()",""
"passed","Wed Jul 19 17:39:20 GMT 2023","Wed Jul 19 17:39:24 GMT 2023","3804","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [5] angular, te, username",""
"passed","Wed Jul 19 17:39:24 GMT 2023","Wed Jul 19 17:39:27 GMT 2023","3159","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [6] angular, password, te",""
"skipped","Wed Jul 19 17:39:21 GMT 2023","Wed Jul 19 17:39:22 GMT 2023","265","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Wed Jul 19 17:39:11 GMT 2023","Wed Jul 19 17:39:17 GMT 2023","6063","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [3] angular, test, username",""
"passed","Wed Jul 19 17:39:27 GMT 2023","Wed Jul 19 17:39:30 GMT 2023","3055","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [7] , password, username",""
"passed","Wed Jul 19 17:39:40 GMT 2023","Wed Jul 19 17:39:43 GMT 2023","2362","","tests.LoginTest","","tests.LoginTest","overflowPasswordField","overflowPasswordField()",""
"broken","Wed Jul 19 17:39:22 GMT 2023","Wed Jul 19 17:39:22 GMT 2023","274","","","","","","Example #1.2",""
"passed","Wed Jul 19 17:38:55 GMT 2023","Wed Jul 19 17:39:02 GMT 2023","7149","","tests.JSExecutorTest","","tests.JSExecutorTest","removeFocus","removeFocus()",""
"passed","Wed Jul 19 17:39:17 GMT 2023","Wed Jul 19 17:39:20 GMT 2023","3439","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [4] te, password, username",""
"broken","Wed Jul 19 17:39:24 GMT 2023","Wed Jul 19 17:39:25 GMT 2023","484","","","","","","logout scenario",""
"passed","Wed Jul 19 17:39:32 GMT 2023","Wed Jul 19 17:39:35 GMT 2023","2557","","tests.LoginTest","","tests.LoginTest","usernameErrorMessageWithInvalidLengthValues","usernameErrorMessageWithInvalidLengthValues()",""
"passed","Wed Jul 19 17:38:34 GMT 2023","Wed Jul 19 17:39:03 GMT 2023","28543","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [1] angular, password, username",""
"passed","Wed Jul 19 17:39:02 GMT 2023","Wed Jul 19 17:39:09 GMT 2023","6370","","tests.LoginTest","","tests.LoginTest","loginWithEmptyPasswordField","loginWithEmptyPasswordField()",""
"passed","Wed Jul 19 17:39:06 GMT 2023","Wed Jul 19 17:39:13 GMT 2023","7113","","tests.DragDropTest","","tests.DragDropTest","dragnDrop","dragnDrop()",""
"skipped","Wed Jul 19 17:39:22 GMT 2023","Wed Jul 19 17:39:22 GMT 2023","267","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Wed Jul 19 17:39:17 GMT 2023","Wed Jul 19 17:39:22 GMT 2023","4774","","tests.LoginTest","","tests.LoginTest","loginWithInvalidPassword","loginWithInvalidPassword()",""
"broken","Wed Jul 19 17:39:21 GMT 2023","Wed Jul 19 17:39:21 GMT 2023","485","","","","","","Example #1.2",""
"passed","Wed Jul 19 17:39:25 GMT 2023","Wed Jul 19 17:39:29 GMT 2023","4431","","tests.LoginTest","","tests.LoginTest","loginSuccessfully","loginSuccessfully()",""
"skipped","Wed Jul 19 17:39:21 GMT 2023","Wed Jul 19 17:39:21 GMT 2023","464","","login","","login with wrong value scenario","","login with wrong value scenario","  try to login with wrong value"
