"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jul 19 18:23:32 GMT 2023","Wed Jul 19 18:23:32 GMT 2023","227","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Wed Jul 19 18:23:17 GMT 2023","Wed Jul 19 18:23:21 GMT 2023","3681","","tests.DragDropTest","","tests.DragDropTest","dragnDrop","dragnDrop()",""
"skipped","Wed Jul 19 18:23:31 GMT 2023","Wed Jul 19 18:23:31 GMT 2023","215","","login","","login with wrong value scenario","","login with wrong value scenario","  try to login with wrong value"
"passed","Wed Jul 19 18:23:01 GMT 2023","Wed Jul 19 18:23:04 GMT 2023","2386","","tests.LoginTest","","tests.LoginTest","usernameErrorMessageWithInvalidLengthValues","usernameErrorMessageWithInvalidLengthValues()",""
"passed","Wed Jul 19 18:22:20 GMT 2023","Wed Jul 19 18:22:23 GMT 2023","2410","","tests.JSExecutorTest","","tests.JSExecutorTest","removeFocus","removeFocus()",""
"passed","Wed Jul 19 18:22:12 GMT 2023","Wed Jul 19 18:22:14 GMT 2023","2716","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [8] angular, , username",""
"skipped","Wed Jul 19 18:23:31 GMT 2023","Wed Jul 19 18:23:31 GMT 2023","265","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"broken","Wed Jul 19 18:23:33 GMT 2023","Wed Jul 19 18:23:33 GMT 2023","248","","","","","","login with valid value scenario",""
"passed","Wed Jul 19 18:22:17 GMT 2023","Wed Jul 19 18:22:19 GMT 2023","1304","","tests.BasicAuthTest","","tests.BasicAuthTest","basicAuth","basicAuth()",""
"skipped","Wed Jul 19 18:23:33 GMT 2023","Wed Jul 19 18:23:33 GMT 2023","218","","logout","","logout scenario","","logout scenario",""
"passed","Wed Jul 19 18:22:31 GMT 2023","Wed Jul 19 18:22:41 GMT 2023","10653","","tests.CookieAuthorizationTest","","tests.CookieAuthorizationTest","cookieAuthorization","cookieAuthorization()",""
"passed","Wed Jul 19 18:22:41 GMT 2023","Wed Jul 19 18:22:44 GMT 2023","2405","","tests.LoginTest","","tests.LoginTest","loginWithEmptyPasswordField","loginWithEmptyPasswordField()",""
"broken","Wed Jul 19 18:23:32 GMT 2023","Wed Jul 19 18:23:32 GMT 2023","223","","","","","","Example #1.5",""
"broken","Wed Jul 19 18:23:31 GMT 2023","Wed Jul 19 18:23:31 GMT 2023","219","","","","","","Example #1.2",""
"passed","Wed Jul 19 18:22:55 GMT 2023","Wed Jul 19 18:22:59 GMT 2023","3993","","tests.LoginTest","","tests.LoginTest","loginSuccessfully","loginSuccessfully()",""
"passed","Wed Jul 19 18:22:04 GMT 2023","Wed Jul 19 18:22:06 GMT 2023","2760","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [5] angular, te, username",""
"broken","Wed Jul 19 18:23:31 GMT 2023","Wed Jul 19 18:23:32 GMT 2023","271","","","","","","Example #1.2",""
"skipped","Wed Jul 19 18:23:31 GMT 2023","Wed Jul 19 18:23:31 GMT 2023","214","","login","","login with wrong value scenario","","login with wrong value scenario","  try to login with wrong value"
"broken","Wed Jul 19 18:23:32 GMT 2023","Wed Jul 19 18:23:32 GMT 2023","222","","","","","","Example #1.4",""
"broken","Wed Jul 19 18:23:32 GMT 2023","Wed Jul 19 18:23:33 GMT 2023","276","","","","","","Example #1.7",""
"broken","Wed Jul 19 18:23:32 GMT 2023","Wed Jul 19 18:23:32 GMT 2023","268","","","","","","Example #1.3",""
"broken","Wed Jul 19 18:23:31 GMT 2023","Wed Jul 19 18:23:31 GMT 2023","222","","","","","","Example #1.1",""
"skipped","Wed Jul 19 18:23:32 GMT 2023","Wed Jul 19 18:23:33 GMT 2023","270","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Wed Jul 19 18:22:14 GMT 2023","Wed Jul 19 18:22:17 GMT 2023","2739","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [9] angular, password, ",""
"broken","Wed Jul 19 18:23:33 GMT 2023","Wed Jul 19 18:23:33 GMT 2023","231","","","","","","logout scenario",""
"passed","Wed Jul 19 18:22:49 GMT 2023","Wed Jul 19 18:22:52 GMT 2023","3627","","tests.LoginTest","","tests.LoginTest","loginWithInvalidPassword","loginWithInvalidPassword()",""
"passed","Wed Jul 19 18:22:06 GMT 2023","Wed Jul 19 18:22:09 GMT 2023","2675","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [6] angular, password, te",""
"skipped","Wed Jul 19 18:23:32 GMT 2023","Wed Jul 19 18:23:32 GMT 2023","263","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"skipped","Wed Jul 19 18:23:31 GMT 2023","Wed Jul 19 18:23:32 GMT 2023","265","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"broken","Wed Jul 19 18:23:31 GMT 2023","Wed Jul 19 18:23:31 GMT 2023","271","","","","","","Example #1.1",""
"passed","Wed Jul 19 18:21:53 GMT 2023","Wed Jul 19 18:21:57 GMT 2023","3799","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [2] test, password, username",""
"passed","Wed Jul 19 18:22:09 GMT 2023","Wed Jul 19 18:22:12 GMT 2023","2672","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [7] , password, username",""
"broken","Wed Jul 19 18:23:32 GMT 2023","Wed Jul 19 18:23:32 GMT 2023","231","","","","","","Example #1.6",""
"passed","Wed Jul 19 18:22:52 GMT 2023","Wed Jul 19 18:22:55 GMT 2023","2528","","tests.LoginTest","","tests.LoginTest","loginWithEmptyUsernameDescriptionField","loginWithEmptyUsernameDescriptionField()",""
"passed","Wed Jul 19 18:22:27 GMT 2023","Wed Jul 19 18:22:31 GMT 2023","4120","","tests.LogoutTest","","tests.LogoutTest","logoutSuccessfully","logoutSuccessfully()",""
"skipped","Wed Jul 19 18:23:32 GMT 2023","Wed Jul 19 18:23:32 GMT 2023","217","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Wed Jul 19 18:22:19 GMT 2023","Wed Jul 19 18:22:20 GMT 2023","1695","","tests.JSExecutorTest","","tests.JSExecutorTest","isScrollPage","isScrollPage()",""
"passed","Wed Jul 19 18:21:57 GMT 2023","Wed Jul 19 18:22:01 GMT 2023","3645","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [3] angular, test, username",""
"passed","Wed Jul 19 18:23:10 GMT 2023","Wed Jul 19 18:23:12 GMT 2023","2570","","tests.LoginTest","","tests.LoginTest","overflowPasswordField","overflowPasswordField()",""
"passed","Wed Jul 19 18:22:23 GMT 2023","Wed Jul 19 18:22:27 GMT 2023","3905","","tests.TabsTest","","tests.TabsTest","tabs","tabs()",""
"passed","Wed Jul 19 18:23:14 GMT 2023","Wed Jul 19 18:23:17 GMT 2023","2963","","tests.AlertsTest","","tests.AlertsTest","alert","alert()",""
"passed","Wed Jul 19 18:22:59 GMT 2023","Wed Jul 19 18:23:01 GMT 2023","2461","","tests.LoginTest","","tests.LoginTest","usernameDescriptionErrorColorWithInvalidLengthValues","usernameDescriptionErrorColorWithInvalidLengthValues()",""
"passed","Wed Jul 19 18:22:01 GMT 2023","Wed Jul 19 18:22:04 GMT 2023","2698","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [4] te, password, username",""
"skipped","Wed Jul 19 18:23:33 GMT 2023","Wed Jul 19 18:23:33 GMT 2023","243","","login","","login with valid value scenario","","login with valid value scenario","  try to login with valid values"
"passed","Wed Jul 19 18:23:12 GMT 2023","Wed Jul 19 18:23:14 GMT 2023","2241","","tests.LoginTest","","tests.LoginTest","hintToEmptyUsernameField","hintToEmptyUsernameField()",""
"passed","Wed Jul 19 18:23:07 GMT 2023","Wed Jul 19 18:23:10 GMT 2023","2236","","tests.LoginTest","","tests.LoginTest","hintToEmptyUsernameDescriptionField","hintToEmptyUsernameDescriptionField()",""
"passed","Wed Jul 19 18:21:44 GMT 2023","Wed Jul 19 18:21:53 GMT 2023","9549","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [1] angular, password, username",""
