"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","26","","","","","","logout scenario",""
"broken","Fri Aug 11 10:43:14 GMT 2023","Fri Aug 11 10:43:14 GMT 2023","27","","tests.LoginTest","","tests.LoginTest","loginWithInvalidUsername","loginWithInvalidUsername()",""
"broken","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","30","","","","","","Example #1.5",""
"broken","Fri Aug 11 10:43:12 GMT 2023","Fri Aug 11 10:43:13 GMT 2023","57","","tests.DragDropTest","","tests.DragDropTest","dragnDrop","dragnDrop()",""
"broken","Fri Aug 11 10:43:12 GMT 2023","Fri Aug 11 10:43:12 GMT 2023","72","","tests.CookieAuthorizationTest","","tests.CookieAuthorizationTest","cookieAuthorization","cookieAuthorization()",""
"broken","Fri Aug 11 10:43:14 GMT 2023","Fri Aug 11 10:43:14 GMT 2023","45","","tests.LoginTest","","tests.LoginTest","usernameErrorMessageWithInvalidLengthValues","usernameErrorMessageWithInvalidLengthValues()",""
"broken","Fri Aug 11 10:43:14 GMT 2023","Fri Aug 11 10:43:14 GMT 2023","26","","tests.LoginTest","","tests.LoginTest","overflowPasswordField","overflowPasswordField()",""
"broken","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","37","","","","","","Example #1.3",""
"skipped","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","19","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"broken","Fri Aug 11 10:43:14 GMT 2023","Fri Aug 11 10:43:14 GMT 2023","57","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [8] angular, , username",""
"broken","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","33","","","","","","Example #1.2",""
"broken","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","42","","","","","","Example #1.7",""
"broken","Fri Aug 11 10:43:12 GMT 2023","Fri Aug 11 10:43:12 GMT 2023","100","","tests.LogoutTest","","tests.LogoutTest","logoutSuccessfully","logoutSuccessfully()",""
"broken","Fri Aug 11 10:43:14 GMT 2023","Fri Aug 11 10:43:14 GMT 2023","35","","tests.LoginTest","","tests.LoginTest","loginWithInvalidPassword","loginWithInvalidPassword()",""
"skipped","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","30","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"broken","Fri Aug 11 10:43:12 GMT 2023","Fri Aug 11 10:43:12 GMT 2023","61","","tests.AlertsTest","","tests.AlertsTest","alert","alert()",""
"broken","Fri Aug 11 10:43:14 GMT 2023","Fri Aug 11 10:43:14 GMT 2023","22","","tests.LoginTest","","tests.LoginTest","usernameDescriptionErrorColorWithInvalidLengthValues","usernameDescriptionErrorColorWithInvalidLengthValues()",""
"broken","Fri Aug 11 10:43:14 GMT 2023","Fri Aug 11 10:43:14 GMT 2023","49","","tests.LoginTest","","tests.LoginTest","hintToEmptyUsernameDescriptionField","hintToEmptyUsernameDescriptionField()",""
"skipped","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","22","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"skipped","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","26","","login","","login with wrong value scenario","","login with wrong value scenario","  try to login with wrong value"
"broken","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","26","","","","","","login with valid value scenario",""
"skipped","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","20","","login","","login with valid value scenario","","login with valid value scenario","  try to login with valid values"
"broken","Fri Aug 11 10:43:14 GMT 2023","Fri Aug 11 10:43:14 GMT 2023","48","","tests.LoginTest","","tests.LoginTest","hintToEmptyPasswordField","hintToEmptyPasswordField()",""
"broken","Fri Aug 11 10:43:14 GMT 2023","Fri Aug 11 10:43:14 GMT 2023","35","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [7] , password, username",""
"broken","Fri Aug 11 10:43:13 GMT 2023","Fri Aug 11 10:43:13 GMT 2023","27","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [3] angular, test, username",""
"broken","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","45","","","","","","Example #1.2",""
"broken","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","30","","","","","","Example #1.6",""
"broken","Fri Aug 11 10:43:13 GMT 2023","Fri Aug 11 10:43:14 GMT 2023","51","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [5] angular, te, username",""
"broken","Fri Aug 11 10:43:14 GMT 2023","Fri Aug 11 10:43:14 GMT 2023","28","","tests.LoginTest","","tests.LoginTest","overflowUsernameField","overflowUsernameField()",""
"skipped","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","27","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"broken","Fri Aug 11 10:43:14 GMT 2023","Fri Aug 11 10:43:14 GMT 2023","50","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [6] angular, password, te",""
"broken","Fri Aug 11 10:43:13 GMT 2023","Fri Aug 11 10:43:13 GMT 2023","43","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [4] te, password, username",""
"broken","Fri Aug 11 10:43:13 GMT 2023","Fri Aug 11 10:43:13 GMT 2023","37","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [2] test, password, username",""
"broken","Fri Aug 11 10:43:12 GMT 2023","Fri Aug 11 10:43:12 GMT 2023","104","","tests.JSExecutorTest","","tests.JSExecutorTest","removeFocus","removeFocus()",""
"broken","Fri Aug 11 10:43:12 GMT 2023","Fri Aug 11 10:43:12 GMT 2023","73","","tests.JSExecutorTest","","tests.JSExecutorTest","isScrollPage","isScrollPage()",""
"broken","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","42","","","","","","Example #1.1",""
"broken","Fri Aug 11 10:43:14 GMT 2023","Fri Aug 11 10:43:14 GMT 2023","19","","tests.LoginTest","","tests.LoginTest","loginWithEmptyUsernameDescriptionField","loginWithEmptyUsernameDescriptionField()",""
"broken","Fri Aug 11 10:43:14 GMT 2023","Fri Aug 11 10:43:14 GMT 2023","61","","tests.LoginTest","","tests.LoginTest","loginWithEmptyUsernameField","loginWithEmptyUsernameField()",""
"skipped","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","25","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"skipped","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","16","","logout","","logout scenario","","logout scenario",""
"skipped","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","27","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"broken","Fri Aug 11 10:43:12 GMT 2023","Fri Aug 11 10:43:12 GMT 2023","60","","tests.BasicAuthTest","","tests.BasicAuthTest","basicAuth","basicAuth()",""
"broken","Fri Aug 11 10:43:14 GMT 2023","Fri Aug 11 10:43:14 GMT 2023","25","","tests.LoginTest","","tests.LoginTest","passwordErrorMessageWithInvalidLengthValues","passwordErrorMessageWithInvalidLengthValues()",""
"broken","Fri Aug 11 10:43:13 GMT 2023","Fri Aug 11 10:43:13 GMT 2023","36","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [1] angular, password, username",""
"broken","Fri Aug 11 10:43:14 GMT 2023","Fri Aug 11 10:43:14 GMT 2023","48","","tests.LoginTest","","tests.LoginTest","loginWithEmptyPasswordField","loginWithEmptyPasswordField()",""
"broken","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","36","","","","","","Example #1.4",""
"broken","Fri Aug 11 10:43:14 GMT 2023","Fri Aug 11 10:43:14 GMT 2023","16","","tests.LoginTest","","tests.LoginTest","hintToEmptyUsernameField","hintToEmptyUsernameField()",""
"broken","Fri Aug 11 10:43:14 GMT 2023","Fri Aug 11 10:43:14 GMT 2023","44","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [9] angular, password, ",""
"broken","Fri Aug 11 10:43:12 GMT 2023","Fri Aug 11 10:43:12 GMT 2023","89","","tests.TabsTest","","tests.TabsTest","tabs","tabs()",""
"broken","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","26","","","","","","Example #1.1",""
"skipped","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","29","","login","","login with wrong value scenario","","login with wrong value scenario","  try to login with wrong value"
"broken","Fri Aug 11 10:43:14 GMT 2023","Fri Aug 11 10:43:14 GMT 2023","27","","tests.LoginTest","","tests.LoginTest","loginSuccessfully","loginSuccessfully()",""
"skipped","Fri Aug 11 10:43:20 GMT 2023","Fri Aug 11 10:43:20 GMT 2023","27","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
