"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 19 18:49:24 GMT 2023","Wed Jul 19 18:49:28 GMT 2023","3190","","tests.LoginTest","","tests.LoginTest","loginWithInvalidPassword","loginWithInvalidPassword()",""
"passed","Wed Jul 19 18:49:57 GMT 2023","Wed Jul 19 18:50:00 GMT 2023","3323","","login","","login with valid value scenario","","login with valid value scenario","  try to login with valid values"
"passed","Wed Jul 19 18:49:18 GMT 2023","Wed Jul 19 18:49:20 GMT 2023","2066","","tests.LoginTest","","tests.LoginTest","loginWithEmptyPasswordField","loginWithEmptyPasswordField()",""
"passed","Wed Jul 19 18:50:09 GMT 2023","Wed Jul 19 18:50:11 GMT 2023","2199","","","","","","Example #1.2",""
"passed","Wed Jul 19 18:49:57 GMT 2023","Wed Jul 19 18:50:00 GMT 2023","3330","","","","","","login with valid value scenario",""
"passed","Wed Jul 19 18:49:28 GMT 2023","Wed Jul 19 18:49:30 GMT 2023","2111","","tests.LoginTest","","tests.LoginTest","loginWithEmptyUsernameDescriptionField","loginWithEmptyUsernameDescriptionField()",""
"passed","Wed Jul 19 18:49:45 GMT 2023","Wed Jul 19 18:49:47 GMT 2023","1918","","tests.LoginTest","","tests.LoginTest","hintToEmptyUsernameField","hintToEmptyUsernameField()",""
"passed","Wed Jul 19 18:50:16 GMT 2023","Wed Jul 19 18:50:18 GMT 2023","2164","","","","","","Example #1.5",""
"passed","Wed Jul 19 18:50:16 GMT 2023","Wed Jul 19 18:50:18 GMT 2023","2161","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Wed Jul 19 18:49:08 GMT 2023","Wed Jul 19 18:49:12 GMT 2023","3645","","tests.LogoutTest","","tests.LogoutTest","logoutSuccessfully","logoutSuccessfully()",""
"passed","Wed Jul 19 18:49:00 GMT 2023","Wed Jul 19 18:49:01 GMT 2023","784","","tests.BasicAuthTest","","tests.BasicAuthTest","basicAuth","basicAuth()",""
"passed","Wed Jul 19 18:50:14 GMT 2023","Wed Jul 19 18:50:16 GMT 2023","2194","","","","","","Example #1.4",""
"passed","Wed Jul 19 18:49:43 GMT 2023","Wed Jul 19 18:49:45 GMT 2023","2074","","tests.LoginTest","","tests.LoginTest","overflowPasswordField","overflowPasswordField()",""
"passed","Wed Jul 19 18:50:20 GMT 2023","Wed Jul 19 18:50:22 GMT 2023","2146","","","","","","Example #1.7",""
"passed","Wed Jul 19 18:50:07 GMT 2023","Wed Jul 19 18:50:09 GMT 2023","2235","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Wed Jul 19 18:50:20 GMT 2023","Wed Jul 19 18:50:22 GMT 2023","2142","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Wed Jul 19 18:49:49 GMT 2023","Wed Jul 19 18:49:53 GMT 2023","3443","","tests.DragDropTest","","tests.DragDropTest","dragnDrop","dragnDrop()",""
"passed","Wed Jul 19 18:49:33 GMT 2023","Wed Jul 19 18:49:35 GMT 2023","2079","","tests.LoginTest","","tests.LoginTest","usernameDescriptionErrorColorWithInvalidLengthValues","usernameDescriptionErrorColorWithInvalidLengthValues()",""
"passed","Wed Jul 19 18:49:53 GMT 2023","Wed Jul 19 18:49:57 GMT 2023","3682","","logout","","logout scenario","","logout scenario",""
"passed","Wed Jul 19 18:49:47 GMT 2023","Wed Jul 19 18:49:49 GMT 2023","2809","","tests.AlertsTest","","tests.AlertsTest","alert","alert()",""
"passed","Wed Jul 19 18:49:35 GMT 2023","Wed Jul 19 18:49:37 GMT 2023","1999","","tests.LoginTest","","tests.LoginTest","usernameErrorMessageWithInvalidLengthValues","usernameErrorMessageWithInvalidLengthValues()",""
"passed","Wed Jul 19 18:50:04 GMT 2023","Wed Jul 19 18:50:07 GMT 2023","3225","","","","","","Example #1.2",""
"passed","Wed Jul 19 18:50:18 GMT 2023","Wed Jul 19 18:50:20 GMT 2023","2198","","","","","","Example #1.6",""
"passed","Wed Jul 19 18:48:48 GMT 2023","Wed Jul 19 18:48:51 GMT 2023","3184","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [5] angular, te, username",""
"passed","Wed Jul 19 18:48:42 GMT 2023","Wed Jul 19 18:48:46 GMT 2023","4361","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [3] angular, test, username",""
"passed","Wed Jul 19 18:49:41 GMT 2023","Wed Jul 19 18:49:43 GMT 2023","1944","","tests.LoginTest","","tests.LoginTest","hintToEmptyUsernameDescriptionField","hintToEmptyUsernameDescriptionField()",""
"passed","Wed Jul 19 18:50:07 GMT 2023","Wed Jul 19 18:50:09 GMT 2023","2241","","","","","","Example #1.1",""
"passed","Wed Jul 19 18:48:58 GMT 2023","Wed Jul 19 18:49:00 GMT 2023","2212","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [9] angular, password, ",""
"passed","Wed Jul 19 18:50:11 GMT 2023","Wed Jul 19 18:50:14 GMT 2023","2178","","","","","","Example #1.3",""
"passed","Wed Jul 19 18:48:46 GMT 2023","Wed Jul 19 18:48:48 GMT 2023","2322","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [4] te, password, username",""
"passed","Wed Jul 19 18:48:51 GMT 2023","Wed Jul 19 18:48:54 GMT 2023","2239","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [6] angular, password, te",""
"passed","Wed Jul 19 18:48:56 GMT 2023","Wed Jul 19 18:48:58 GMT 2023","2213","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [8] angular, , username",""
"passed","Wed Jul 19 18:49:53 GMT 2023","Wed Jul 19 18:49:57 GMT 2023","3777","","","","","","logout scenario",""
"passed","Wed Jul 19 18:50:14 GMT 2023","Wed Jul 19 18:50:16 GMT 2023","2190","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Wed Jul 19 18:48:38 GMT 2023","Wed Jul 19 18:48:42 GMT 2023","3339","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [2] test, password, username",""
"passed","Wed Jul 19 18:49:37 GMT 2023","Wed Jul 19 18:49:41 GMT 2023","3243","","tests.LoginTest","","tests.LoginTest","loginWithInvalidUsername","loginWithInvalidUsername()",""
"passed","Wed Jul 19 18:49:03 GMT 2023","Wed Jul 19 18:49:05 GMT 2023","2024","","tests.JSExecutorTest","","tests.JSExecutorTest","removeFocus","removeFocus()",""
"passed","Wed Jul 19 18:49:20 GMT 2023","Wed Jul 19 18:49:22 GMT 2023","2051","","tests.LoginTest","","tests.LoginTest","overflowUsernameField","overflowUsernameField()",""
"passed","Wed Jul 19 18:49:05 GMT 2023","Wed Jul 19 18:49:08 GMT 2023","3584","","tests.TabsTest","","tests.TabsTest","tabs","tabs()",""
"passed","Wed Jul 19 18:48:31 GMT 2023","Wed Jul 19 18:48:38 GMT 2023","7146","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [1] angular, password, username",""
"passed","Wed Jul 19 18:49:12 GMT 2023","Wed Jul 19 18:49:18 GMT 2023","6294","","tests.CookieAuthorizationTest","","tests.CookieAuthorizationTest","cookieAuthorization","cookieAuthorization()",""
"passed","Wed Jul 19 18:50:04 GMT 2023","Wed Jul 19 18:50:07 GMT 2023","3222","","login","","login with wrong value scenario","","login with wrong value scenario","  try to login with wrong value"
"passed","Wed Jul 19 18:50:00 GMT 2023","Wed Jul 19 18:50:04 GMT 2023","3220","","","","","","Example #1.1",""
"passed","Wed Jul 19 18:50:11 GMT 2023","Wed Jul 19 18:50:14 GMT 2023","2174","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Wed Jul 19 18:49:30 GMT 2023","Wed Jul 19 18:49:33 GMT 2023","3498","","tests.LoginTest","","tests.LoginTest","loginSuccessfully","loginSuccessfully()",""
"passed","Wed Jul 19 18:50:00 GMT 2023","Wed Jul 19 18:50:04 GMT 2023","3215","","login","","login with wrong value scenario","","login with wrong value scenario","  try to login with wrong value"
"passed","Wed Jul 19 18:49:01 GMT 2023","Wed Jul 19 18:49:03 GMT 2023","1533","","tests.JSExecutorTest","","tests.JSExecutorTest","isScrollPage","isScrollPage()",""
"passed","Wed Jul 19 18:48:54 GMT 2023","Wed Jul 19 18:48:56 GMT 2023","2217","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [7] , password, username",""
"passed","Wed Jul 19 18:50:18 GMT 2023","Wed Jul 19 18:50:20 GMT 2023","2195","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Wed Jul 19 18:50:09 GMT 2023","Wed Jul 19 18:50:11 GMT 2023","2195","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Wed Jul 19 18:49:22 GMT 2023","Wed Jul 19 18:49:24 GMT 2023","2062","","tests.LoginTest","","tests.LoginTest","loginWithEmptyUsernameField","loginWithEmptyUsernameField()",""
