"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 01 16:19:18 GMT 2023","Tue Aug 01 16:19:19 GMT 2023","1915","","tests.LoginTest","","tests.LoginTest","hintToEmptyUsernameField","hintToEmptyUsernameField()",""
"passed","Tue Aug 01 16:18:49 GMT 2023","Tue Aug 01 16:18:53 GMT 2023","3266","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Tue Aug 01 16:18:45 GMT 2023","Tue Aug 01 16:18:49 GMT 2023","3920","","","","","","Example #1.2",""
"passed","Tue Aug 01 16:18:07 GMT 2023","Tue Aug 01 16:18:31 GMT 2023","24113","","logout","","logout scenario","","logout scenario",""
"passed","Tue Aug 01 16:18:33 GMT 2023","Tue Aug 01 16:18:39 GMT 2023","5995","","tests.LoginTest","","tests.LoginTest","loginWithEmptyPasswordField","loginWithEmptyPasswordField()",""
"passed","Tue Aug 01 16:18:27 GMT 2023","Tue Aug 01 16:18:33 GMT 2023","6185","","tests.JSExecutorTest","","tests.JSExecutorTest","removeFocus","removeFocus()",""
"passed","Tue Aug 01 16:18:39 GMT 2023","Tue Aug 01 16:18:44 GMT 2023","4439","","tests.LoginTest","","tests.LoginTest","overflowUsernameField","overflowUsernameField()",""
"passed","Tue Aug 01 16:19:00 GMT 2023","Tue Aug 01 16:19:03 GMT 2023","3163","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [8] angular, , username",""
"passed","Tue Aug 01 16:18:45 GMT 2023","Tue Aug 01 16:18:49 GMT 2023","3903","","login","","login with wrong value scenario","","login with wrong value scenario","  try to login with wrong value"
"passed","Tue Aug 01 16:18:50 GMT 2023","Tue Aug 01 16:18:55 GMT 2023","4348","","tests.LoginTest","","tests.LoginTest","loginWithInvalidPassword","loginWithInvalidPassword()",""
"passed","Tue Aug 01 16:19:08 GMT 2023","Tue Aug 01 16:19:11 GMT 2023","2596","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Tue Aug 01 16:18:55 GMT 2023","Tue Aug 01 16:18:58 GMT 2023","3011","","tests.LoginTest","","tests.LoginTest","loginWithEmptyUsernameDescriptionField","loginWithEmptyUsernameDescriptionField()",""
"passed","Tue Aug 01 16:18:01 GMT 2023","Tue Aug 01 16:18:29 GMT 2023","27097","","tests.TabsTest","","tests.TabsTest","tabs","tabs()",""
"passed","Tue Aug 01 16:18:32 GMT 2023","Tue Aug 01 16:18:39 GMT 2023","6778","","login","","login with valid value scenario","","login with valid value scenario","  try to login with valid values"
"passed","Tue Aug 01 16:18:01 GMT 2023","Tue Aug 01 16:18:26 GMT 2023","24844","","tests.JSExecutorTest","","tests.JSExecutorTest","isScrollPage","isScrollPage()",""
"passed","Tue Aug 01 16:18:30 GMT 2023","Tue Aug 01 16:18:42 GMT 2023","12463","","tests.CookieAuthorizationTest","","tests.CookieAuthorizationTest","cookieAuthorization","cookieAuthorization()",""
"passed","Tue Aug 01 16:18:57 GMT 2023","Tue Aug 01 16:19:00 GMT 2023","3343","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [7] , password, username",""
"passed","Tue Aug 01 16:18:01 GMT 2023","Tue Aug 01 16:18:32 GMT 2023","31062","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [1] angular, password, username",""
"passed","Tue Aug 01 16:19:05 GMT 2023","Tue Aug 01 16:19:08 GMT 2023","3095","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Tue Aug 01 16:19:02 GMT 2023","Tue Aug 01 16:19:05 GMT 2023","3401","","","","","","Example #1.5",""
"failed","Tue Aug 01 16:19:24 GMT 2023","Tue Aug 01 16:19:26 GMT 2023","1950","","tests.LoginTest","","tests.LoginTest","hintToEmptyPasswordField","hintToEmptyPasswordField()",""
"passed","Tue Aug 01 16:18:59 GMT 2023","Tue Aug 01 16:19:02 GMT 2023","2887","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Tue Aug 01 16:19:05 GMT 2023","Tue Aug 01 16:19:08 GMT 2023","3103","","","","","","Example #1.6",""
"passed","Tue Aug 01 16:18:44 GMT 2023","Tue Aug 01 16:18:47 GMT 2023","3479","","tests.LoginTest","","tests.LoginTest","loginWithEmptyUsernameField","loginWithEmptyUsernameField()",""
"passed","Tue Aug 01 16:18:07 GMT 2023","Tue Aug 01 16:18:32 GMT 2023","25188","","","","","","logout scenario",""
"passed","Tue Aug 01 16:18:58 GMT 2023","Tue Aug 01 16:19:02 GMT 2023","4655","","tests.LoginTest","","tests.LoginTest","loginSuccessfully","loginSuccessfully()",""
"passed","Tue Aug 01 16:19:02 GMT 2023","Tue Aug 01 16:19:05 GMT 2023","3392","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Tue Aug 01 16:19:14 GMT 2023","Tue Aug 01 16:19:15 GMT 2023","1836","","tests.LoginTest","","tests.LoginTest","hintToEmptyUsernameDescriptionField","hintToEmptyUsernameDescriptionField()",""
"passed","Tue Aug 01 16:19:02 GMT 2023","Tue Aug 01 16:19:05 GMT 2023","2908","","tests.LoginTest","","tests.LoginTest","usernameDescriptionErrorColorWithInvalidLengthValues","usernameDescriptionErrorColorWithInvalidLengthValues()",""
"passed","Tue Aug 01 16:18:01 GMT 2023","Tue Aug 01 16:18:26 GMT 2023","24887","","tests.BasicAuthTest","","tests.BasicAuthTest","basicAuth","basicAuth()",""
