"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 19 19:00:52 GMT 2023","Wed Jul 19 19:00:54 GMT 2023","1982","","tests.LoginTest","","tests.LoginTest","hintToEmptyUsernameDescriptionField","hintToEmptyUsernameDescriptionField()",""
"passed","Wed Jul 19 19:01:05 GMT 2023","Wed Jul 19 19:01:09 GMT 2023","3618","","logout","","logout scenario","","logout scenario",""
"passed","Wed Jul 19 18:59:52 GMT 2023","Wed Jul 19 18:59:54 GMT 2023","2267","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [4] te, password, username",""
"passed","Wed Jul 19 19:00:33 GMT 2023","Wed Jul 19 19:00:37 GMT 2023","3307","","tests.LoginTest","","tests.LoginTest","loginWithInvalidPassword","loginWithInvalidPassword()",""
"passed","Wed Jul 19 19:00:37 GMT 2023","Wed Jul 19 19:00:39 GMT 2023","2199","","tests.LoginTest","","tests.LoginTest","loginWithEmptyUsernameDescriptionField","loginWithEmptyUsernameDescriptionField()",""
"passed","Wed Jul 19 19:00:29 GMT 2023","Wed Jul 19 19:00:31 GMT 2023","2165","","tests.LoginTest","","tests.LoginTest","loginWithEmptyUsernameField","loginWithEmptyUsernameField()",""
"passed","Wed Jul 19 19:00:03 GMT 2023","Wed Jul 19 19:00:06 GMT 2023","2391","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [9] angular, password, ",""
"passed","Wed Jul 19 19:00:10 GMT 2023","Wed Jul 19 19:00:14 GMT 2023","3646","","tests.TabsTest","","tests.TabsTest","tabs","tabs()",""
"passed","Wed Jul 19 19:00:47 GMT 2023","Wed Jul 19 19:00:49 GMT 2023","2028","","tests.LoginTest","","tests.LoginTest","usernameErrorMessageWithInvalidLengthValues","usernameErrorMessageWithInvalidLengthValues()",""
"failed","Wed Jul 19 19:01:40 GMT 2023","Wed Jul 19 19:01:42 GMT 2023","2068","","tests.LoginTest","","tests.LoginTest","hintToEmptyPasswordField","hintToEmptyPasswordField()",""
"passed","Wed Jul 19 19:01:28 GMT 2023","Wed Jul 19 19:01:30 GMT 2023","2185","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Wed Jul 19 19:00:56 GMT 2023","Wed Jul 19 19:00:58 GMT 2023","1967","","tests.LoginTest","","tests.LoginTest","hintToEmptyUsernameField","hintToEmptyUsernameField()",""
"passed","Wed Jul 19 18:59:59 GMT 2023","Wed Jul 19 19:00:01 GMT 2023","2270","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [7] , password, username",""
"passed","Wed Jul 19 19:01:32 GMT 2023","Wed Jul 19 19:01:34 GMT 2023","2225","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Wed Jul 19 19:01:28 GMT 2023","Wed Jul 19 19:01:30 GMT 2023","2189","","","","","","Example #1.5",""
"passed","Wed Jul 19 19:01:23 GMT 2023","Wed Jul 19 19:01:25 GMT 2023","2208","","","","","","Example #1.3",""
