"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 03 11:41:00 GMT 2023","Thu Aug 03 11:41:00 GMT 2023","10","","logout","","logout scenario","","logout scenario",""
"broken","Thu Aug 03 11:40:54 GMT 2023","Thu Aug 03 11:40:54 GMT 2023","54","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [5] angular, te, username",""
"skipped","Thu Aug 03 11:41:00 GMT 2023","Thu Aug 03 11:41:00 GMT 2023","18","","login","","login with valid value scenario","","login with valid value scenario","  try to login with valid values"
"broken","Thu Aug 03 11:40:53 GMT 2023","Thu Aug 03 11:40:53 GMT 2023","51","","tests.DragDropTest","","tests.DragDropTest","dragnDrop","dragnDrop()",""
"broken","Thu Aug 03 11:40:55 GMT 2023","Thu Aug 03 11:40:55 GMT 2023","12","","tests.LoginTest","","tests.LoginTest","loginWithInvalidPassword","loginWithInvalidPassword()",""
"skipped","Thu Aug 03 11:41:00 GMT 2023","Thu Aug 03 11:41:00 GMT 2023","20","","login","","login with wrong value scenario","","login with wrong value scenario","  try to login with wrong value"
"broken","Thu Aug 03 11:40:54 GMT 2023","Thu Aug 03 11:40:54 GMT 2023","58","","tests.BasicAuthTest","","tests.BasicAuthTest","basicAuth","basicAuth()",""
"broken","Thu Aug 03 11:41:00 GMT 2023","Thu Aug 03 11:41:00 GMT 2023","23","","","","","","login with valid value scenario",""
"broken","Thu Aug 03 11:40:53 GMT 2023","Thu Aug 03 11:40:53 GMT 2023","55","","tests.AlertsTest","","tests.AlertsTest","alert","alert()",""
"broken","Thu Aug 03 11:40:55 GMT 2023","Thu Aug 03 11:40:55 GMT 2023","22","","tests.LoginTest","","tests.LoginTest","hintToEmptyUsernameField","hintToEmptyUsernameField()",""
"broken","Thu Aug 03 11:40:54 GMT 2023","Thu Aug 03 11:40:55 GMT 2023","46","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [7] , password, username",""
"broken","Thu Aug 03 11:40:55 GMT 2023","Thu Aug 03 11:40:55 GMT 2023","46","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [8] angular, , username",""
"broken","Thu Aug 03 11:40:55 GMT 2023","Thu Aug 03 11:40:55 GMT 2023","40","","tests.LoginTest","","tests.LoginTest","loginWithInvalidUsername","loginWithInvalidUsername()",""
"broken","Thu Aug 03 11:41:00 GMT 2023","Thu Aug 03 11:41:00 GMT 2023","16","","","","","","Example #1.7",""
"broken","Thu Aug 03 11:41:00 GMT 2023","Thu Aug 03 11:41:00 GMT 2023","25","","","","","","Example #1.3",""
"broken","Thu Aug 03 11:40:55 GMT 2023","Thu Aug 03 11:40:55 GMT 2023","24","","tests.LoginTest","","tests.LoginTest","passwordErrorMessageWithInvalidLengthValues","passwordErrorMessageWithInvalidLengthValues()",""
"broken","Thu Aug 03 11:41:00 GMT 2023","Thu Aug 03 11:41:00 GMT 2023","28","","","","","","Example #1.1",""
"broken","Thu Aug 03 11:40:54 GMT 2023","Thu Aug 03 11:40:55 GMT 2023","33","","tests.LoginTest","","tests.LoginTest","hintToEmptyPasswordField","hintToEmptyPasswordField()",""
"skipped","Thu Aug 03 11:41:00 GMT 2023","Thu Aug 03 11:41:00 GMT 2023","19","","login","","login with wrong value scenario","","login with wrong value scenario","  try to login with wrong value"
"broken","Thu Aug 03 11:40:55 GMT 2023","Thu Aug 03 11:40:55 GMT 2023","32","","tests.LoginTest","","tests.LoginTest","loginWithEmptyUsernameField","loginWithEmptyUsernameField()",""
"broken","Thu Aug 03 11:40:55 GMT 2023","Thu Aug 03 11:40:55 GMT 2023","15","","tests.LoginTest","","tests.LoginTest","loginWithEmptyUsernameDescriptionField","loginWithEmptyUsernameDescriptionField()",""
"broken","Thu Aug 03 11:40:53 GMT 2023","Thu Aug 03 11:40:53 GMT 2023","77","","tests.JSExecutorTest","","tests.JSExecutorTest","removeFocus","removeFocus()",""
"skipped","Thu Aug 03 11:41:00 GMT 2023","Thu Aug 03 11:41:00 GMT 2023","9","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"broken","Thu Aug 03 11:40:55 GMT 2023","Thu Aug 03 11:40:55 GMT 2023","28","","tests.LoginTest","","tests.LoginTest","overflowPasswordField","overflowPasswordField()",""
"broken","Thu Aug 03 11:41:00 GMT 2023","Thu Aug 03 11:41:00 GMT 2023","22","","","","","","Example #1.4",""
"broken","Thu Aug 03 11:40:53 GMT 2023","Thu Aug 03 11:40:53 GMT 2023","82","","tests.TabsTest","","tests.TabsTest","tabs","tabs()",""
"broken","Thu Aug 03 11:41:00 GMT 2023","Thu Aug 03 11:41:00 GMT 2023","22","","","","","","Example #1.5",""
"broken","Thu Aug 03 11:40:55 GMT 2023","Thu Aug 03 11:40:55 GMT 2023","64","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [9] angular, password, ",""
"broken","Thu Aug 03 11:40:54 GMT 2023","Thu Aug 03 11:40:54 GMT 2023","51","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [6] angular, password, te",""
"skipped","Thu Aug 03 11:41:00 GMT 2023","Thu Aug 03 11:41:00 GMT 2023","18","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"skipped","Thu Aug 03 11:41:00 GMT 2023","Thu Aug 03 11:41:00 GMT 2023","12","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"broken","Thu Aug 03 11:40:54 GMT 2023","Thu Aug 03 11:40:54 GMT 2023","63","","tests.LoginTest","","tests.LoginTest","usernameErrorMessageWithInvalidLengthValues","usernameErrorMessageWithInvalidLengthValues()",""
"broken","Thu Aug 03 11:41:00 GMT 2023","Thu Aug 03 11:41:00 GMT 2023","32","","","","","","Example #1.1",""
"broken","Thu Aug 03 11:40:54 GMT 2023","Thu Aug 03 11:40:54 GMT 2023","61","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [3] angular, test, username",""
"skipped","Thu Aug 03 11:41:00 GMT 2023","Thu Aug 03 11:41:00 GMT 2023","22","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"broken","Thu Aug 03 11:41:00 GMT 2023","Thu Aug 03 11:41:00 GMT 2023","22","","","","","","Example #1.2",""
"broken","Thu Aug 03 11:40:55 GMT 2023","Thu Aug 03 11:40:55 GMT 2023","40","","tests.LoginTest","","tests.LoginTest","loginSuccessfully","loginSuccessfully()",""
"broken","Thu Aug 03 11:40:55 GMT 2023","Thu Aug 03 11:40:55 GMT 2023","39","","tests.LoginTest","","tests.LoginTest","loginWithEmptyPasswordField","loginWithEmptyPasswordField()",""
"broken","Thu Aug 03 11:40:54 GMT 2023","Thu Aug 03 11:40:54 GMT 2023","50","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [2] test, password, username",""
"broken","Thu Aug 03 11:40:55 GMT 2023","Thu Aug 03 11:40:55 GMT 2023","18","","tests.LoginTest","","tests.LoginTest","overflowUsernameField","overflowUsernameField()",""
"broken","Thu Aug 03 11:40:54 GMT 2023","Thu Aug 03 11:40:54 GMT 2023","58","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [1] angular, password, username",""
"broken","Thu Aug 03 11:41:00 GMT 2023","Thu Aug 03 11:41:00 GMT 2023","31","","","","","","Example #1.6",""
